,Unnamed: 0,date,plant_id,tray,plant_area,plant_convex_hull_area,plant_solidity,plant_perimeter,plant_width,plant_height,plant_longest_path,plant_convex_hull_vertices,plant_ellipse_major_axis,plant_ellipse_minor_axis,plant_ellipse_angle,plant_ellipse_eccentricity,total_plants
92,37,Jun-20-2023,plant37,T01,751,1034,0.726305609284332,166.610171675682,34,51,359,18,51.6362037658691,24.0561790466308,24.5903797149658,0.884848885413355,55
93,38,Jun-20-2023,plant38,T01,333,538,0.618959107806691,147.136381268501,22,42,299,13,44.8109550476074,15.3102340698242,163.175491333007,0.939822624863789,55
94,39,Jun-20-2023,plant39,T01,409,607,0.673805601317957,153.261692166328,35,40,323,12,48.5541229248046,15.8022117614746,139.755050659179,0.945557319797045,55
95,40,Jun-20-2023,plant40,T01,566,811.5,0.69747381392483,141.396968603134,40,37,335,13,45.549991607666,22.2619228363037,50.6658782958984,0.872431703014776,55
96,41,Jun-20-2023,plant41,T01,748,900.5,0.830649639089394,138.225395679473,27,49,228,15,51.0724868774414,21.8065071105957,168.964569091796,0.904264982152384,55
97,42,Jun-20-2023,plant42,T01,995,1191.5,0.835081829626521,170.953317523002,54,29,370,13,58.8970947265625,26.7504253387451,84.2005462646484,0.890905244759889,55
98,43,Jun-20-2023,plant43,T01,1312,1725.5,0.760359316140249,212.024385213851,56,48,418,19,60.761978149414,33.1994552612304,58.5150070190429,0.837533903297931,55
99,44,Jun-20-2023,plant44,T01,712,993,0.717019133937562,154.468036293983,46,36,307,19,42.3222198486328,32.2128944396972,106.781784057617,0.648594273807389,55
100,45,Jun-20-2023,plant45,T01,1030,1291.5,0.797522260936895,170.468036293983,54,40,386,23,57.3141326904296,26.9778976440429,123.033111572265,0.882292064019766,55
101,46,Jun-20-2023,plant46,T01,967,1359.5,0.711290915777859,182.124890446662,37,54,350,16,50.9340705871582,35.0945243835449,4.10171270370483,0.724743613004002,55
102,47,Jun-20-2023,plant47,T01,800,1064,0.75187969924812,153.296463370323,48,33,332,19,47.4323539733886,29.2765846252441,109.518516540527,0.786784212474573,55
103,48,Jun-20-2023,plant48,T01,649,938.5,0.691529035695258,158.367531061172,22,53,368,20,53.8017845153808,20.610876083374,173.733795166015,0.923711403784908,55
