date,plant_id,tray_id,LFW_g,LDW_g,LA_mm2,actual_height_cm,area,perimeter,width,length,convex_hull,compactness,R_channel,G_channel,B_channel,H_channel,S_channel,V_channel,height_cm_max,height_cm_mode,e_minoraxis,e_majoraxis,e_eccentricity
07-Jul,26,3,101.97,5.45,940,12.5,19477.5,611.2863587,171,165,21429.5,0.908910614,67,68,35,31,137,69,11.2,8.7,148.8484039,173.821167,0.516427836
07-Jul,27,3,67.58,3.95,669.66,11.3,16796,601.8132701,182,149,19345.5,0.868212246,65,68,34,33,140,68,10,7.2,131.7318115,172.7714081,0.647031781
07-Jul,1,4,114.09,6.27,1300.22,15.7,27620.5,832.7665876,239,182,32033.5,0.86223797,67,68,27,31,163,69,14.9,12.3,166.7730865,222.0050659,0.660059893
07-Jul,2,4,87.33,4.72,1077.01,14,21979.5,761.7127649,192,196,26020,0.844715603,70,73,29,32,159,73,12.8,11.2,161.7381744,185.6493378,0.490923758
07-Jul,3,4,82.87,4.51,987.57,14.5,19061.5,653.6538898,165,188,21328.5,0.893710294,63,70,32,36,149,70,12.3,11.2,151.6468506,170.5791016,0.457884099
07-Jul,4,4,95.19,5.17,1091.23,14.6,21482.5,707.5950147,184,198,24285.5,0.884581335,61,65,26,34,160,65,12.9,11.7,165.5072632,183.2852478,0.429632699
07-Jul,5,4,98.41,5.35,1124.5,16.3,25866,840.4650719,224,204,31148.5,0.830409169,66,69,27,33,163,70,16.5,13.9,164.2106171,219.2180939,0.662486114
07-Jul,6,4,118.9,6.35,1319.43,15.7,31895.5,904.5655771,241,192,36109.5,0.883299409,63,65,23,31,173,65,18,15.1,176.7398071,239.4482422,0.674677351
07-Jul,7,4,115.64,5.86,1334.89,16.3,26648,822.8670928,207,193,29539,0.902129388,67,69,28,32,161,69,14,13.2,171.8069611,202.8693237,0.531776283
07-Jul,8,4,117.79,6.28,1234.65,15.3,20897.5,654.3401815,167,179,23167,0.902037381,64,70,31,35,151,70,11.8,10.4,157.6774292,176.8790894,0.453135037
07-Jul,9,4,123.66,6.44,1395.96,16.1,21232.5,751.5950147,185,181,24338.5,0.872383261,60,66,30,36,152,66,14.2,12.9,164.2973175,174.3911591,0.335277174
